Num_Name	Epoch	q	e	i	w	Node	Tp	Ref
C/2002 Q6 (SOHO)	52510	0.0103	1	65.96	81.75	70.92	20020823.67	SAO_2008
C/2002 Q7 (SOHO)	52511	0.0049	1	144.8	89.26	11.7	20020825.04	SAO_2008
C/2002 Q8 (SOHO)	52512	0.0479	1	13.7	51.16	50.38	20020825.93	SAO_2008
C/2002 Q9 (SOHO)	52505	0.0304	1	22.45	207.89	19.58	20020819.42	SAO_2008
C/2002 Q10 (SOHO)	52514	0.0484	1	13.54	51.02	50.99	20020827.5	SAO_2008
C/2002 Q11 (SOHO)	52516	0.0052	1	145.38	79.71	359.8	20020830.18	SAO_2008
C/2002 Q12 (SOHO)	52505	0.005	1	144.02	82.08	3.57	20020819.14	SAO_2008
C/2002 Q13 (SOHO)	52514	0.0054	1	144.31	80.71	2.15	20020827.73	SAO_2008
C/2002 Q14 (SOHO)	52516	0.0077	1	145.34	80.63	359.96	20020830.17	SAO_2008
C/2002 R1 (SOHO)	52520	0.0492	1	22.19	33.67	70.43	20020902.54	SAO_2008
C/2002 R3 (LONEOS)	52749	3.86948607	1.00262356	161.09525	45.06799	54.29531	20030613.48	JPL43
C/2002 R4 (SOHO)	52520	0.052	1	28.31	20.16	85.69	20020903.3	SAO_2008
C/2002 R5 (SOHO)	53575	0.04740161	0.98526126	14.12063	45.72383	13.2142	20020905.18	JPL2
C/2002 R6 (SOHO)	52531	0.0051	1	144.64	77.38	5.94	20020914.08	SAO_2008
C/2002 R7 (SOHO)	52531	0.0052	1	144.72	88.52	12.27	20020914.32	SAO_2008
C/2002 R8 (SOHO)	52533	0.0343	1	75.95	63.49	59.71	20020915.75	SAO_2008
C/2002 S2 (SOHO)	52536	0.0053	1	144.31	81.07	3.76	20020919.12	SAO_2008
C/2002 S3 (SOHO)	52535	0.0062	1	145.05	83.66	8.25	20020918.18	SAO_2008
C/2002 S4 (SOHO)	52535	0.0484	1	13.51	50.98	50.81	20020918.22	SAO_2008
C/2002 S5 (SOHO)	52536	0.0467	1	14.03	52.01	49.01	20020919.33	SAO_2008
C/2002 S6 (SOHO)	52538	0.005	1	146.22	87.71	7.28	20020921.1	SAO_2008
P/2002 S7 (SOHO)	53188	0.04849335	0.98495604	13.5825	52.01297	50.30703	20020921.06	JPL2
C/2002 S8 (SOHO)	52539	0.0053	1	144.46	79.66	3.36	20020922.04	SAO_2008
C/2002 S9 (SOHO)	52541	0.0049	1	144.27	83.5	5.64	20020924.27	SAO_2008
C/2002 S10 (SOHO)	52544	0.0052	1	144.17	81.57	4.59	20020926.64	SAO_2008
C/2002 S11 (SOHO)	52547	0.0482	1	13.68	51.84	50.7	20020930.34	SAO_2008
C/2002 T2 (SOHO)	52551	0.0369	1	70.94	57.79	70.73	20021004.34	SAO_2008
C/2002 T3 (SOHO)	52556	0.0077	1	144.21	82.88	11.38	20021009.39	SAO_2008
P/2002 T5 (LINEAR)	52962	3.93417638	0.43714553	30.90295	326.78663	123.33267	20030628.06	JPL54
P/2002 T6 (NEAT-LINEAR)	52862	3.38710338	0.55734849	11.00927	217.57685	209.04581	20030627.03	JPL36
C/2002 T7 (LINEAR)	52982	0.61454764	1.00049105	160.58277	157.73884	94.85669	20040423.06	JPL143
C/2002 U1 (SOHO)	52564	0.0059	1	145.9	89.53	6.96	20021016.73	SAO_2008
C/2002 U2 (LINEAR)	52643	1.2086305	1.00003934	59.13566	95.84685	38.7766	20021231.99	JPL37
C/2002 U3 (SOHO)	52565	0.0053	1	143.12	84.44	7.95	20021017.71	SAO_2008
C/2002 U4 (SOHO)	52570	0.0051	1	144.67	87.34	9.72	20021023.24	SAO_2008
C/2002 U5 (SOHO)	52576	0.005	1	144.31	88.17	11.48	20021028.54	SAO_2008
C/2002 U6 (SOHO)	52575	0.0359	1	73.06	56.77	74.62	20021028.27	SAO_2008
C/2002 U7 (SOHO)	52578	0.0051	1	145.16	80.55	2.71	20021031.18	SAO_2008
C/2002 U8 (SOHO)	52579	0.0051	1	143.97	83.36	4.42	20021031.69	SAO_2008
C/2002 U9 (SOHO)	52579	0.005	1	144.17	86.26	10.22	20021031.79	SAO_2008
C/2002 V1 (NEAT)	52636	0.09925815	0.99990185	81.70586	152.16967	64.08844	20030218.3	JPL35
C/2002 V2 (LINEAR)	52903	6.81203764	0.99872482	166.77641	314.68092	20.23355	20030513.72	JPL33
C/2002 V3 (SOHO)	52588	0.0051	1	144.48	87.03	9.49	20021109.69	SAO_2008
C/2002 V4 (SOHO)	52588	0.0357	1	72.5	56.33	74.75	20021109.72	SAO_2008
C/2002 V5 (SOHO)	52590	0.0506	1	34.24	19.13	86.61	20021112.42	SAO_2008
C/2002 V6 (SOHO)	52592	0.0077	1	138.73	57.93	331.9	20021113.88	SAO_2008
C/2002 V7 (SOHO)	52594	0.0052	1	143.67	86.62	8.8	20021116.23	SAO_2008
C/2002 VQ94 (LINEAR)	53934	6.79671107	0.96638028	70.51612	100.04983	35.01548	20060206.8	JPL122
C/2002 W1 (SOHO)	52595	0.0069	1	138.86	48.93	320.24	20021116.94	SAO_2008
C/2002 W2 (SOHO)	52596	0.0072	1	144.15	88.69	11.08	20021118.24	SAO_2008
C/2002 W3 (SOHO)	52597	0.0051	1	142.31	88.62	12.58	20021119.12	SAO_2008
C/2002 W4 (SOHO)	52598	0.0051	1	144.06	88.32	12.68	20021119.92	SAO_2008
C/2002 W5 (SOHO)	52599	0.0049	1	143.67	85.91	8.42	20021120.97	SAO_2008
C/2002 W6 (SOHO)	52599	0.0051	1	141.93	89.07	13.31	20021120.73	SAO_2008
C/2002 W7 (SOHO)	52600	0.0076	1	139.69	53.52	327.04	20021122.3	SAO_2008
C/2002 W8 (SOHO)	52601	0.0073	1	139.37	63.01	339.16	20021123.12	SAO_2008
C/2002 W9 (SOHO)	52602	0.0051	1	144.03	84.98	6.73	20021123.7	SAO_2008
C/2002 W10 (SOHO)	52603	0.0055	1	141.11	92.75	18.3	20021124.8	SAO_2008
C/2002 W11 (SOHO)	52603	0.0053	1	143.17	90.4	13.74	20021125.48	SAO_2008
C/2002 W12 (SOHO)	52607	0.0049	1	144.49	83.42	4.32	20021128.99	SAO_2008
C/2002 W13 (SOHO)	52606	0.005	1	143.49	87.37	9.07	20021128.34	SAO_2008
C/2002 W14 (SOHO)	52607	0.005	1	143.16	87.12	9.3	20021129.1	SAO_2008
C/2002 W15 (SOHO)	52608	0.007	1	145.16	88.01	9.26	20021129.54	SAO_2008
C/2002 W16 (SOHO)	52608	0.0085	1	136.41	73.78	357.85	20021129.57	SAO_2008
C/2002 W17 (SOHO)	52608	0.0056	1	138.52	99.11	26.89	20021129.73	SAO_2008
C/2002 X1 (LINEAR)	52744	2.4867001	0.99820573	164.08952	207.3249	281.88719	20030712.89	JPL44
C/2002 X3 (SOHO)	52613	0.0052	1	141.67	87.85	13.32	20021204.57	SAO_2008
C/2002 X4 (SOHO)	52613	0.0052	1	141.31	91.88	17.23	20021204.67	SAO_2008
C/2002 X5 (Kudo-Fujikawa)	52662	0.18993058	0.99978831	94.15249	187.58532	119.06529	20030129	JPL41
C/2002 X6 (SOHO)	52610	0.0346	1	72.55	57.43	74.75	20021202.44	SAO_2008
C/2002 X7 (SOHO)	52610	0.0052	1	137.42	97.2	24.1	20021201.72	SAO_2008
C/2002 X8 (SOHO)	52614	0.0049	1	142.08	39.67	314.04	20021205.59	SAO_2008
C/2002 X9 (SOHO)	52614	0.0082	1	139.82	54.29	331.62	20021205.63	SAO_2008
C/2002 X10 (SOHO)	52614	0.005	1	143.16	84.26	7.94	20021205.94	SAO_2008
C/2002 X11 (SOHO)	52617	0.005	1	143.4	91.1	13.86	20021209.39	SAO_2008
C/2002 X12 (SOHO)	52618	0.0051	1	139.96	99.76	25.65	20021210.01	SAO_2008
C/2002 X13 (SOHO)	52612	0.005	1	137.25	34.61	305.7	20021203.54	SAO_2008
C/2002 X14 (SOHO)	52620	0.0042	1	144.59	83.49	4.59	20021212.3	SAO_2008
C/2002 X15 (SOHO)	52622	0.0048	1	133.28	104.95	33.03	20021214.1	SAO_2008
C/2002 X16 (SOHO)	52619	0.0051	1	145.02	77.8	0.57	20021211.02	SAO_2008
C/2002 Y1 (Juels-Holvorcem)	52684	0.71380852	0.99715217	103.7816	128.81566	166.22016	20030413.25	JPL25
C/2002 Y2 (SOHO)	52628	0.04	1	73.52	57.48	74.51	20021219.79	SAO_2008
C/2002 Y3 (SOHO)	52627	0.0049	1	146.92	74.99	356.64	20021218.94	SAO_2008
C/2002 Y4 (SOHO)	52635	0.0055	1	147.76	71.96	353.2	20021226.51	SAO_2008
C/2003 A2 (Gleason)	52730	11.42740625	1.00695125	8.06157	346.60023	154.54452	20031103.97	JPL16
C/2003 A3 (SOHO)	52646	0.0055	1	140.05	76.4	350.46	20030107.27	SAO_2008
C/2003 A4 (SOHO)	52655	0.0071	1	144.57	87.65	9.57	20030116.46	SAO_2008
C/2003 A5 (SOHO)	52655	0.0048	1	144.84	89.76	12.29	20030116.05	SAO_2008
C/2003 B1 (SOHO)	52656	0.0355	1	73.36	56.25	74.15	20030117.08	SAO_2008
C/2003 B2 (SOHO)	52658	0.0049	1	144.97	86.68	7.39	20030119.37	SAO_2008
C/2003 B3 (SOHO)	52662	0.0051	1	144.73	80.3	3.77	20030123.29	SAO_2008
C/2003 C1 (SOHO)	52674	0.0049	1	140.05	74.03	347.03	20030204.49	SAO_2008
C/2003 C2 (SOHO)	52680	0.0047	1	144.47	89.57	11.52	20030209.93	SAO_2008
C/2003 C3 (SOHO)	52681	0.005	1	142.05	88.56	8.91	20030211.21	SAO_2008
C/2003 C4 (SOHO)	52685	0.0051	1	145.05	86.95	8.77	20030214.58	SAO_2008
C/2003 C5 (SOHO)	52687	0.0049	1	144.42	80.73	1.84	20030217.05	SAO_2008
C/2003 C6 (SOHO)	52679	0.0051	1	146.81	69.69	351.72	20030208.76	SAO_2008
C/2003 D1 (SOHO)	52699	0.0052	1	144.7	87.09	9.68	20030301.1	SAO_2008
C/2003 E1 (NEAT)	52889	3.24500361	0.7635914	33.53785	103.85554	137.07013	20040213.59	JPL29
C/2003 E2 (SOHO)	52703	0.0049	1	144.06	83.69	2.57	20030304.78	SAO_2008
C/2003 E3 (SOHO)	52710	0.0051	1	145.29	85.61	7.97	20030312.08	SAO_2008
C/2003 E4 (SOHO)	52714	0.005	1	144.66	87.98	9.37	20030316.15	SAO_2008
C/2003 F1 (LINEAR)	52789	4.00780622	0.80604743	70.22155	121.18943	87.48756	20030628.47	JPL30
P/2003 F2 (NEAT)	52735	2.97715859	0.54218989	11.60468	191.57343	359.0289	20030414.7	JPL6
C/2003 F3 (SOHO)	52719	0.0049	1	144.59	88.18	9.82	20030321.3	SAO_2008
C/2003 F4 (SOHO)	52724	0.0051	1	145.06	84.78	8.5	20030325.96	SAO_2008
C/2003 F5 (SOHO)	52729	0.0049	1	144.55	88.12	10.01	20030330.8	SAO_2008
C/2003 G1 (LINEAR)	52870	4.9162853	1.00137737	66.8495	11.42236	246.08895	20030203.65	JPL53
C/2003 G2 (LINEAR)	52744	1.55337546	0.99652171	96.16776	190.67312	24.56771	20030429.93	JPL5
C/2003 G3 (SOHO)	52734	0.0168	1	169.7	174.63	87.61	20030405.3	SAO_2008
C/2003 G4 (SOHO)	52732	0.005	1	147.49	82.8	1.78	20030402.78	SAO_2008
C/2003 G5 (SOHO)	52736	0.0051	1	144.12	83.04	4.2	20030406.85	SAO_2008
C/2003 H1 (LINEAR)	52879	2.2396283	0.99915922	138.66721	196.1395	19.00048	20040222.62	JPL44
C/2003 H2 (LINEAR)	52782	2.17852643	0.94293364	74.21799	155.08285	79.8379	20030517.97	JPL14
C/2003 H3 (NEAT)	52847	2.90144467	0.99978138	42.81179	6.47757	269.41733	20030424.23	JPL32
C/2003 H5 (SOHO)	52756	0.0351	1	71.35	56.64	75.17	20030427.48	SAO_2008
C/2003 H6 (SOHO)	52760	0.0264	1	27.05	80.67	243.47	20030430.56	SAO_2008
C/2003 H7 (SOHO)	52760	0.0266	1	27.9	82.57	242.66	20030430.57	SAO_2008
C/2003 H8 (SOHO)	52752	0.005	1	144.12	86.27	8.63	20030423.38	SAO_2008
C/2003 H9 (SOHO)	52754	0.0048	1	143.76	84.6	8.35	20030425.03	SAO_2008
C/2003 H10 (SOHO)	52758	0.005	1	143.83	83.06	5.9	20030429.37	SAO_2008
C/2003 H11 (SOHO)	52759	0.0051	1	137.2	43.23	306.78	20030429.8	SAO_2008
C/2003 H12 (SOHO)	52760	0.0051	1	144.35	85.33	5.25	20030501.28	SAO_2008
C/2003 J1 (NEAT)	52865	5.12542885	0.99110479	98.31301	196.02684	122.0331	20031010.59	JPL10
C/2003 J2 (SOHO)	52761	0.0051	1	143.39	84.94	7.47	20030501.62	SAO_2008
C/2003 J3 (SOHO)	52765	0.005	1	142.82	84.58	8.48	20030506.17	SAO_2008
C/2003 J4 (SOHO)	52765	0.005	1	144.58	89.29	12.8	20030506.34	SAO_2008
C/2003 J5 (SOHO)	52768	0.0051	1	143.94	89.21	11.87	20030508.72	SAO_2008
C/2003 J6 (SOHO)	52769	0.0055	1	143.08	90.64	16.55	20030510.21	SAO_2008
C/2003 J7 (SOHO)	52775	0.0074	1	141.86	70.61	349.09	20030515.56	SAO_2008
C/2003 J8 (SOHO)	52776	0.005	1	144.29	82.44	3.18	20030516.61	SAO_2008
C/2003 J9 (SOHO)	52775	0.005	1	144.18	90.62	14.4	20030516.14	SAO_2008
C/2003 K1 (Spacewatch)	52788	2.0858386	0.94745983	129.80846	314.38368	250.04789	20021220.92	JPL7
C/2003 K3 (SOHO)	52791	0.13918	1	39.529	108.456	79.076	20030601.25	SAO_2008
C/2003 K4 (LINEAR)	53182	1.02361072	1.00030096	134.25252	198.44299	18.67569	20041013.72	JPL98
C/2003 K5 (SOHO)	52780	0.0348	1	72.5	55.74	74.11	20030521.35	SAO_2008
C/2003 K6 (SOHO)	52789	0.0372	1	71.87	56.44	73.67	20030530.12	SAO_2008
C/2003 K7 (SOHO)	52784	0.0051	1	144.15	89.7	12.35	20030524.82	SAO_2008
C/2003 K8 (SOHO)	52782	0.0076	1	135.87	95.31	28.75	20030522.91	SAO_2008
C/2003 K9 (SOHO)	52784	0.0041	1	144.48	81.52	1.39	20030524.87	SAO_2008
C/2003 K10 (SOHO)	52786	0.005	1	144.2	82.94	3.91	20030527.2	SAO_2008
C/2003 K11 (SOHO)	52787	0.005	1	141.58	92.22	17.8	20030527.64	SAO_2008
C/2003 K12 (SOHO)	52789	0.0091	1	136.8	81.85	4.8	20030529.59	SAO_2008
C/2003 K13 (SOHO)	52783	0.0057	1	148.89	72.92	348.81	20030524.38	SAO_2008
P/2003 L1 (Scotti)	52687	5.00998682	0.2518342	9.02459	355.11684	226.03788	20030306.89	JPL5
C/2003 L2 (LINEAR)	52896	2.86479458	0.98145263	82.05112	119.84131	273.5593	20040119.19	JPL31
C/2003 L3 (SOHO)	52793	0.005	1	142.65	94.51	18.74	20030602.96	SAO_2008
C/2003 L4 (SOHO)	52796	0.005	1	141.93	95.86	20.72	20030606.31	SAO_2008
C/2003 L5 (SOHO)	52801	0.005	1	144.23	82.97	3.81	20030610.6	SAO_2008
C/2003 L6 (SOHO)	52800	0.005	1	135.18	103.35	32.28	20030610.29	SAO_2008
C/2003 L7 (SOHO)	52805	0.0057	1	133.71	107.86	37.11	20030614.53	SAO_2008
C/2003 L8 (SOHO)	52806	0.0043	1	141.6	91.79	14.55	20030616.09	SAO_2008
C/2003 M1 (SOHO)	52807	0.0044	1	144.57	79.7	0.22	20030616.63	SAO_2008
C/2003 M2 (SOHO)	52809	0.0043	1	143.54	86.95	8.57	20030618.9	SAO_2008
C/2003 M3 (SOHO)	52808	0.0044	1	141.43	96.21	20.06	20030618.39	SAO_2008
C/2003 M4 (SOHO)	52809	0.0068	1	141.94	89	10.56	20030618.95	SAO_2008
C/2003 M5 (SOHO)	52810	0.007	1	139.29	64.34	340.42	20030619.96	SAO_2008
C/2003 M6 (SOHO)	52810	0.0066	1	143.2	91.42	13.06	20030620.16	SAO_2008
C/2003 M7 (SOHO)	52811	0.005	1	145.25	65.47	344.94	20030620.9	SAO_2008
C/2003 M8 (SOHO)	52813	0.0054	1	147.58	64.96	345.29	20030622.7	SAO_2008
C/2003 M9 (SOHO)	52814	0.0053	1	146.97	76.12	358.61	20030623.51	SAO_2008
C/2003 M10 (SOHO)	52814	0.0058	1	148.86	61.51	341.76	20030623.61	SAO_2008
C/2003 M11 (SOHO)	52814	0.0052	1	145.69	60.98	341.37	20030623.77	SAO_2008
C/2003 M12 (SOHO)	52814	0.0048	1	143.12	87.16	8.42	20030623.88	SAO_2008
C/2003 N1 (SOHO)	52826	0.0049	1	144.79	85.86	7.21	20030706.13	SAO_2008
C/2003 N2 (SOHO)	52834	0.0048	1	146.13	86.25	8.4	20030713.64	SAO_2008
C/2003 O1 (LINEAR)	53127	6.84737646	1.00135047	117.98167	81.67377	347.644	20040317.21	JPL54
P/2003 O3 (LINEAR)	52885	1.24638022	0.59854527	8.36449	0.76293	341.50101	20030814.06	JPL19
C/2003 O4 (SOHO)	52839	0.0053	1	134.3	58.31	330.26	20030719.21	SAO_2008
C/2003 O5 (SOHO)	52842	0.0067	1	139.42	64.35	339.9	20030721.62	SAO_2008
C/2003 O6 (SOHO)	52845	0.005	1	144.55	87.25	9.49	20030725.18	SAO_2008
C/2003 O7 (SOHO)	52846	0.0051	1	144.99	75.97	358.3	20030726.47	SAO_2008
C/2003 O8 (SOHO)	52851	0.0052	1	145.34	73.97	356.06	20030730.7	SAO_2008
C/2003 P1 (SOHO)	52855	0.0054	1	145.12	73.86	355.98	20030803.58	SAO_2008
C/2003 P2 (SOHO)	52855	0.0053	1	139.66	90.58	13.52	20030804.36	SAO_2008
C/2003 P3 (SOHO)	52857	0.005	1	144.43	87.34	8.87	20030806.41	SAO_2008
C/2003 Q1 (SOHO)	52872	0.032	1	29.33	52.38	43.43	20030820.97	SAO_2008
C/2003 Q2 (SOHO)	52876	0.0049	1	144.57	87.31	9.12	20030825.09	SAO_2008
C/2003 Q3 (SOHO)	52876	0.0053	1	144.84	85.4	7.95	20030824.8	SAO_2008
C/2003 Q4 (SOHO)	52877	0.0051	1	144.43	86.73	9.27	20030825.78	SAO_2008
C/2003 Q5 (SOHO)	52879	0.005	1	144.7	86.64	8.63	20030827.76	SAO_2008
C/2003 Q6 (SOHO)	52878	0.0366	1	25.43	33.17	56.3	20030826.51	SAO_2008
C/2003 Q7 (SOHO)	52881	0.006	1	144.06	90.4	11.23	20030830.4	SAO_2008
C/2003 Q8 (SOHO)	52881	0.005	1	144.94	86.07	8.04	20030830.04	SAO_2008
C/2003 Q9 (SOHO)	52883	0.0051	1	144.26	81.97	3.13	20030831.57	SAO_2008
C/2003 Q10 (SOHO)	52877	0.0054	1	144.48	91.77	11.64	20030825.67	SAO_2008
P/2003 QX29 (NEAT)	52863	4.23913839	0.47179162	11.39653	37.22474	264.58026	20021026.2	JPL10
C/2003 R1 (LINEAR)	52924	2.10188293	0.89330555	149.19563	302.68988	356.68906	20030629.62	JPL13
C/2003 R2 (SOHO)	52888	0.005	1	141.91	91.87	18.95	20030905.93	SAO_2008
C/2003 R3 (SOHO)	52892	0.005	1	144.75	86.26	8.79	20030909.62	SAO_2008
C/2003 R4 (SOHO)	52889	0.0316	1	92.36	105.04	173.06	20030906.96	SAO_2008
C/2003 S3 (LINEAR)	52807	8.12944156	1.00151912	151.49626	154.56129	226.38975	20030410.37	JPL12
